,YO014,YO016,YO015,YO381,YO189,YO098,YO088,YO033,YO134,YO077,YO041,YO111,YO043,YO142,YO039
YO014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YO015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YO381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
YO189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
YO098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YO088,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YO033,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YO134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YO077,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YO041,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
YO111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YO142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YO039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
